C_ID ,NodeID,ConnectedTO,Type
0,N1,"N78,N12",walkway
1,N78,"N1,N79,N81",walkway
2,N79,"N78,N94,N80",walkway
3,N80,N93,walkway
4,N81,"N78,N92,N82",walkway
5,N82,"N81,N91,N83",walkway
6,N83,"N82,N84,N86",walkway
7,N84,"N83,N85,N90",walkway
8,N85,"N84,N89",walkway
9,N86,"N83,N87,N88",walkway
10,N87,"N86,N95",walkway
11,N1,N2,walkway
12,N2,N3,walkway
12,N3,"N3,N8,N4",walkway
13,N4,"N5,N10",walkway
14,N5,"N6,N7",walkway
15,N6,N11,walkway
16,N7,N9,walkway
18,N12,"N1,N13,N15",walkway
19,N13,"N12,N28,N14",walkway
20,N14,N27,walkway
21,N15,"N12,N26,N16",walkway
22,N16,"N15,N25,N17",walkway
23,N17,"N16,N18,N20",walkway
24,N18,"N17,N19,N24",walkway
25,N19,"N18,N23",walkway
26,N20,"N17,N21,N22",walkway
27,N21,"N20,N29",walkway
28,N31,"N1,N32,N34",walkway
29,N32,"N31,N47,N33",walkway
30,N33,N46,walkway
31,N34,"N31,N45,N35",walkway
32,N35,"N34,N44,N36",walkway
33,N36,"N35,N37,N39",walkway
34,N37,"N36,N38,N43",walkway
35,N38,"N37,N42",walkway
36,N39,"N36,N41",walkway
38,N49,"N1,N50,N34",walkway
39,N50,"N49,N51",walkway
40,N51,N64,walkway
41,N52,"N49,N63,N53",walkway
42,N53,"N52,N62,N54",walkway
43,N54,"N53,N55,N57",walkway
44,N55,"N54,N56,N61",walkway
45,N56,"N55,N60",walkway
46,N57,"N54,N58,N59",walkway
47,N58,"N57,N65",walkway
48,N66,"N1,N67,N70",walkway
49,N67,"N66,N68,N69",walkway
50,N68,"N74,N73",walkway
51,N69,"N67,N75",walkway
52,N70,"N66,N71,N76",walkway
53,N71,"N70,N72",walkway
54,N72,"N71,N77",walkway
