NodeID,B_ID,Detail,floor,X,Y,Type
N1,17,ลิฟต์,1,406,833,Elevator
N2,17,หน้าลิฟต์,1,406,708,Path
N3,17,หน้าห้องสำนักงานคณะวิทยาศาสตร์,1,555,708,Path
N4,17,ข้างห้องสำนักงานคณะวิทยาศาสตร์,1,676,708,Path
N5,17,ข้างห้องน้ำชาย,1,676,440,Path
N6,17,หน้าห้องน้ำชาย,1,762,440,Path
N7,17,หน้าห้องถ่ายเอกสาร,1,676,277,Path
N8,17,สำนักงานคณะวิทยาศาสตร์,1,555,737,Room
N9,17,ห้องถ่ายเอกสาร,1,729,277,Room
N10,17,ห้องน้ำหญิง,1,774,708,Toilet
N11,17,ห้องน้ำชาย,1,762,406,Toilet
N12,17,หน้าลิฟต์,1,406,708,Path
N13,17,หน้าห้อง17027,2,333,708,Path
N14,17,หน้าห้อง17026,2,294,708,Path
N15,17,หน้าห้อง17025,2,471,708,Path
N16,17,หน้าห้อง17024,2,485,708,Path
N17,17,ทางแยก,2,674,708,Path
N18,17,หน้าห้อง17023,2,706,708,Path
N19,17,หน้าห้อง17022,2,742,708,Path
N20,17,หน้าห้อง17021,2,674,489,Path
N21,17,หน้าห้องน้ำ,2,674,269,Path
N22,17,ห้อง17071,2,730,489,Room
N23,17,ห้อง17072,2,742,678,Room
N24,17,ห้อง17073,2,706,736,Room
N25,17,ห้อง17074,2,485,736,Room
N26,17,ห้อง17075,2,471,678,Room
N27,17,ห้อง17076,2,294,678,Room
N28,17,ห้อง17077,2,333,736,Room
N29,17,ห้องน้ำ,2,730,269,น้ำ
N30,17,server,3,0,0,Room
N31,17,หน้าลิฟต์,4,406,708,Path
N32,17,หน้าห้อง17047,4,333,708,Path
N33,17,หน้าห้อง17046,4,294,708,Path
N34,17,หน้าห้อง17045,4,471,708,Path
N35,17,หน้าห้อง17044,4,485,708,Path
N36,17,ทางแยก,4,674,708,Path
N37,17,หน้าห้อง17043,4,706,708,Path
N38,17,หน้าห้อง17042,4,742,708,Path
N39,17,หน้าห้อง17041,4,674,489,Path

N41,17,ห้อง17041,4,730,489,Room
N42,17,ห้อง17042,4,742,678,Room
N43,17,ห้อง17043,4,706,736,Room
N44,17,ห้อง17044,4,485,736,Room
N45,17,ห้อง17045,4,471,678,Room
N46,17,ห้อง17046,4,294,678,Room
N47,17,ห้อง17047,4,333,736,Room

N49,17,หน้าลิฟต์,5,406,708,Path
N50,17,หน้าห้อง17057,5,333,708,Path
N51,17,หน้าห้อง17056,5,294,708,Path
N52,17,หน้าห้อง17055,5,471,708,Path
N53,17,หน้าห้อง17054,5,485,708,Path
N54,17,ทางแยก,5,674,708,Path
N55,17,หน้าห้อง17053,5,706,708,Path
N56,17,หน้าห้อง17052,5,742,708,Path
N57,17,หน้าห้อง17051,5,675,524,Path
N58,17,หน้าห้องน้ำหญิง,5,674,269,Path
N59,17,ห้อง17051,5,734,525,Room
N60,17,ห้อง17052,5,742,678,Room
N61,17,ห้อง17053,5,706,736,Room
N62,17,ห้อง17054,5,485,736,Room
N63,17,ห้อง17055,5,471,678,Room
N64,17,ห้องพักอาจารย์,5,309,710,Room
N65,17,ห้องน้ำหญิง,5,730,269,Toilet
N66,17,หน้าลิฟต์,6,406,708,Path
N67,17,หน้าห้องละหมาด,6,333,708,Path
N68,17,หน้าห้องน้ำหญิง,6,333,749,Path
N69,17,หน้าห้องน้ำชาย,6,244,708,Path
N70,17,หน้าห้องประชุม,6,573,708,Path
N71,17,ทางแยก,6,675,708,Path
N72,17,หน้าห้องสำนักงานคณะวิทย์,6,675,471,Path
N73,17,ห้องละหมาด,6,333,770,Room
N74,17,ห้องน้ำหญิง,6,290,749,Toilet
N75,17,ห้องน้ำชาย,6,244,732,Toilet
N76,17,ห้องประชุม,6,573,735,Room
N77,17,ห้องสำนักงานคณะวิทย์,6,739,471,Room
N78,17,หน้าลิฟต์,7,406,708,Path
N79,17,หน้าห้อง17077,7,333,708,Path
N80,17,หน้าห้อง17076,7,294,708,Path
N81,17,หน้าห้อง17075,7,471,708,Path
N82,17,หน้าห้อง17074,7,485,708,Path
N83,17,ทางแยก,7,674,708,Path
N84,17,หน้าห้อง17073,7,706,708,Path
N85,17,หน้าห้อง17072,7,742,708,Path
N86,17,หน้าห้อง17071,7,674,489,Path
N87,17,หน้าห้องน้ำ,7,674,269,Path
N88,17,ห้อง17071,7,730,489,Room
N89,17,ห้อง17072,7,742,678,Room
N90,17,ห้อง17073,7,706,736,Room
N91,17,ห้อง17074,7,485,736,Room
N92,17,ห้อง17075,7,471,678,Room
N93,17,ห้อง17076,7,294,678,Room
N94,17,ห้อง17077,7,333,736,Room
N95,17,ห้องน้ำชาย,7,730,269,Toilet
